title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
At Long Last Love,N/A,N/A,"$5,941,500",Fox,"March 6, 1975",Unknown,1 hrs. 58 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frank Marshall,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
At Middleton,N/A,N/A,"$54,900",Anchor Bay Films,"January 31, 2014",Romance,1 hrs. 39 min.,R,N/A,N/A,Vera Farmiga,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
At Play in the Fields of the Lord,N/A,N/A,"$2,628,500",Universal,"December 6, 1991",Drama,3 hrs. 0 min.,R,N/A,N/A,Kathy Bates,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATL,N/A,N/A,"$26,245,000",Warner Bros.,"March 31, 2006",Drama,1 hrs. 40 min.,PG-13,$20 million,N/A,N/A,N/A,N/A,N/A,N/A,N/A,James Lassiter,Will Smith,N/A,N/A,N/A,N/A,N/A,N/A,Aaron Zigman,N/A
Atlantic City,N/A,N/A,"$37,181,600",Paramount,"April 3, 1981",Crime Drama,1 hrs. 43 min.,R,N/A,N/A,Susan Sarandon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Atlantis:<br/>The Lost Empire,N/A,N/A,"$120,589,900",Buena Vista,"June 8, 2001",Animation,1 hrs. 35 min.,PG,$120 million,"$186,053,725",James Garner*,N/A,N/A,N/A,N/A,N/A,Don Hahn,N/A,N/A,N/A,N/A,N/A,Joss Whedon,N/A,James Newton Howard,N/A
Atlas Shrugged Part III:<br/>Who Is John Galt?,N/A,N/A,"$850,900",Atlas Distribution,"September 12, 2014",Drama,N/A,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Atlas Shrugged:<br/>Part I,N/A,N/A,"$4,780,400",Rocky Mountain Pictures,"April 15, 2011",Drama,1 hrs. 42 min.,PG-13,$20 million,N/A,Taylor Schilling,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Atlas Shrugged:<br/>Part II,N/A,N/A,"$3,481,800",Atlas Distribution,"October 12, 2012",Drama,1 hrs. 52 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATM,N/A,N/A,"$3,100",IFC,"April 6, 2012",Thriller,1 hrs. 30 min.,R,N/A,"$3,010",Alice Eve,N/A,N/A,N/A,N/A,N/A,Paul Brooks,Peter Safran,N/A,N/A,N/A,N/A,N/A,N/A,David Buckley,N/A
Atonement,Joe Wright,N/A,"$57,994,500",Focus Features,"December 7, 2007",Period Drama,2 hrs. 3 min.,R,N/A,"$129,266,061",Keira Knightley,James McAvoy,Saoirse Ronan,Romola Garai,Juno Temple*,Benedict Cumberbatch*,Tim Bevan,Eric Fellner,N/A,N/A,N/A,N/A,Christopher Hampton,N/A,Dario Marianelli,N/A
The Attack,N/A,N/A,"$1,778,200",Cohen Media Group,"June 21, 2013",Foreign,1 hrs. 42 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Attack of the Clones:<br/>The IMAX Experience (IMAX),N/A,N/A,"$11,824,400",Fox,"November 1, 2002",IMAX,2 hrs. 0 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Attack the Block,Joe Cornish,N/A,"$1,047,400",Sony / Screen Gems,"July 29, 2011",Sci-Fi Comedy,1 hrs. 28 min.,R,$13 million,"$5,824,175",Nick Frost,N/A,N/A,N/A,N/A,N/A,Edgar Wright,N/A,N/A,N/A,N/A,N/A,Joe Cornish,N/A,Steven Price,N/A
The Attacks of 26/11,N/A,N/A,"$254,000",Eros,"March 1, 2013",Foreign,1 hrs. 56 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Attenberg,N/A,N/A,"$24,300",Strand,"March 9, 2012",Foreign,1 hrs. 37 min.,Unrated,N/A,"$69,961",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Attorney,N/A,N/A,"$568,400",Well Go USA,"February 7, 2014",Foreign,2 hrs. 7 min.,Unrated,N/A,"$70,567,539",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Au Hasard Balthazar (Re-issue),N/A,N/A,"$61,100",Rialto,"October 17, 2003",Unknown,1 hrs. 35 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Au Revoir, Les Enfants",N/A,N/A,"$8,975,100",Orion Classics,"February 12, 1988",Foreign,1 hrs. 41 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Audition,N/A,N/A,"$188,400",Vitagraph,"August 8, 2001",Foreign / Horror,1 hrs. 55 min.,R,N/A,"$131,296",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
August,N/A,N/A,"$14,300",First Look,"July 11, 2008",Drama,1 hrs. 28 min.,R,N/A,N/A,Josh Hartnett,Naomie Harris,Adam Scott,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
August (1996),Anthony Hopkins,N/A,"$126,900",Samuel Goldwyn,"April 19, 1996",Unknown,1 hrs. 34 min.,PG,N/A,N/A,Anthony Hopkins,Rhys Ifans*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
August Evening,N/A,N/A,"$84,600",Maya Entertainment,"September 5, 2008",Drama,2 hrs. 7 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
August Rush,N/A,N/A,"$37,278,900",Warner Bros.,"November 21, 2007",Fantasy Drama,1 hrs. 54 min.,PG,N/A,"$66,122,026",Freddie Highmore,Jonathan Rhys Meyers,Robin Williams,Terrence Howard,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mark Mancina,N/A
August:<br/>Osage County,John Wells,N/A,"$38,492,900",Weinstein Company,"December 27, 2013",Comedy / Drama,2 hrs. 10 min.,R,N/A,"$74,188,937",Meryl Streep,Julia Roberts,Ewan McGregor,Chris Cooper,Abigail Breslin,Benedict Cumberbatch,George Clooney,Grant Heslov,N/A,N/A,N/A,N/A,Tracy Letts,N/A,N/A,N/A
Augustine,N/A,N/A,"$107,200",Music Box Films,"May 17, 2013",Foreign,1 hrs. 41 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Aura,N/A,N/A,"$71,800",IFC,"November 15, 2006",Foreign,2 hrs. 18 min.,Unrated,N/A,"$1,785,981",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aurora,N/A,N/A,"$5,800",Cinema Guild,"June 29, 2011",Foreign,3 hrs. 1 min.,Unrated,N/A,"$10,775",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
